season,bpid,mlbam_id,full_name,pit_hand,bats,team,bf,out_rate_pred,so_rate_pred,bb_rate_pred,hbp_rate_pred,roe_rate_pred,single_rate_pred,double_rate_pred,triple_rate_pred,hr_rate_pred,dra_minus
2025,141319,680736,Justin Wrobleski,L,L,LAD,81,0.4418,0.2832,0.061,0.0154,0.004,0.1411,0.0327,0.0032,0.0176,57.2485
2025,70271,605483,Blake Snell,L,L,LAD,56,0.4235,0.297,0.0768,0.009,0.0044,0.1368,0.0316,0.0029,0.018,59.9064
2025,139955,681911,Alex Vesia,L,L,LAD,76,0.3983,0.3217,0.0746,0.0181,0.0024,0.1273,0.0321,0.0029,0.0224,62.2288
2025,147896,808967,Yoshinobu Yamamoto,R,R,LAD,353,0.4301,0.2871,0.0727,0.007,0.007,0.1363,0.0346,0.0022,0.0229,62.3736
2025,144657,686973,Louis Varland,R,R,TOR,164,0.436056097560976,0.273656097560976,0.0742292682926829,0.0110585365853659,0.00729268292682927,0.13710243902439,0.0369073170731707,0.00243170731707317,0.0211682926829268,65.6770512195122
2025,111222,663893,Brendon Little,L,L,TOR,139,0.3851,0.3093,0.1217,0.01,0.0061,0.1249,0.0267,0.0029,0.0131,66.4341
2025,141319,680736,Justin Wrobleski,L,R,LAD,199,0.4323,0.2782,0.0697,0.0077,0.0063,0.1388,0.0404,0.0026,0.0239,68.1046
2025,147896,808967,Yoshinobu Yamamoto,R,L,LAD,331,0.4317,0.2754,0.0823,0.006,0.0043,0.1366,0.0371,0.0032,0.0235,70.4772
2025,118842,676263,Jack Dreyer,L,L,LAD,104,0.4755,0.2319,0.0762,0.0073,0.0036,0.1413,0.0373,0.0041,0.0229,72.3274
2025,49786,477132,Clayton Kershaw,L,L,LAD,94,0.4984,0.2041,0.0673,0.012,0.0041,0.152,0.0376,0.0036,0.0211,72.5326
2025,153071,702056,Trey Yesavage,R,R,TOR,27,0.4565,0.2398,0.0753,0.0111,0.0074,0.144,0.0391,0.0027,0.0239,72.9026
2025,145915,689254,Mason Fluharty,L,L,TOR,102,0.4374,0.254,0.1014,0.0119,0.0036,0.1359,0.0333,0.0028,0.0197,73.0529
2025,70795,607192,Tyler Glasnow,R,R,LAD,191,0.4081,0.2964,0.0827,0.0092,0.0052,0.1357,0.0356,0.0019,0.0253,73.5382
2025,111306,660271,Shohei Ohtani,R,R,LAD,104,0.432,0.2896,0.0514,0.0088,0.0055,0.1405,0.0395,0.0031,0.0297,75.2511
2025,143656,686218,Emmet Sheehan,R,R,LAD,179,0.4323,0.2798,0.0598,0.0103,0.0052,0.1369,0.0404,0.0029,0.0324,76.8341
2025,105425,656546,Jeff Hoffman,R,R,TOR,142,0.4217,0.2796,0.0805,0.0119,0.0053,0.1313,0.0394,0.0021,0.0283,77.4942
2025,108830,669456,Shane Bieber,R,R,TOR,79,0.4785,0.2256,0.057,0.0126,0.0068,0.148,0.041,0.0026,0.028,78.2321
2025,69516,605135,Chris Bassitt,R,R,TOR,317,0.4598,0.2374,0.0538,0.0222,0.007,0.1499,0.0408,0.0027,0.0265,81.1556
2025,108957,641778,Eric Lauer,L,L,TOR,129,0.483,0.2201,0.0652,0.0077,0.003,0.1462,0.0408,0.0036,0.0304,81.9086
2025,70271,605483,Blake Snell,L,R,LAD,198,0.4193,0.271,0.0942,0.006,0.0071,0.1359,0.0396,0.0022,0.0246,82.3413
2025,71071,607455,Anthony Banda,L,L,LAD,110,0.4544,0.2354,0.0992,0.0092,0.0032,0.1385,0.0349,0.0037,0.0215,82.5247
2025,101008,622554,Seranthony Domínguez,R,R,TOR,145,0.384873793103448,0.304826896551724,0.108875862068966,0.00988275862068966,0.005,0.126594482758621,0.0343406896551724,0.0022648275862069,0.0232758620689655,82.6121937931034
2025,111306,660271,Shohei Ohtani,R,L,LAD,83,0.4057,0.3037,0.0725,0.0061,0.0032,0.1347,0.0395,0.004,0.0307,83.2394
2025,144657,686973,Louis Varland,R,L,TOR,132,0.449135606060606,0.235241666666667,0.0942416666666667,0.00834621212121212,0.00463712121212121,0.139797727272727,0.0405257575757576,0.0036719696969697,0.0243348484848485,85.8924939393939
2025,68557,592332,Kevin Gausman,R,R,TOR,403,0.4585,0.2437,0.0604,0.008,0.0049,0.1455,0.0425,0.0024,0.0342,86.3361
2025,115693,676508,Ben Casparius,R,R,LAD,196,0.4743,0.223,0.0585,0.012,0.0051,0.1449,0.047,0.0028,0.0324,89.4179
2025,120108,680755,Braydon Fisher,R,R,TOR,112,0.4313,0.2515,0.0903,0.0139,0.0057,0.1356,0.0395,0.0023,0.03,90.6511
2025,142702,684320,Yariel Rodríguez,R,R,TOR,176,0.4568,0.2274,0.0823,0.0162,0.006,0.1401,0.04,0.0026,0.0286,90.7159
2025,68804,595014,Blake Treinen,R,R,LAD,75,0.4065,0.2736,0.1024,0.0131,0.0047,0.1307,0.038,0.0023,0.0288,90.9128
2025,108830,669456,Shane Bieber,R,L,TOR,80,0.4647,0.2265,0.0759,0.0069,0.0041,0.1449,0.0424,0.0039,0.0307,90.9275
2025,153071,702056,Trey Yesavage,R,L,TOR,35,0.435,0.2387,0.1056,0.0076,0.0044,0.1393,0.0397,0.0043,0.0255,93.4705
2025,118842,676263,Jack Dreyer,L,R,LAD,194,0.4599,0.2301,0.0791,0.0054,0.0056,0.1384,0.0456,0.0032,0.0327,94.9111
2025,105425,656546,Jeff Hoffman,R,L,TOR,145,0.4026,0.2726,0.1092,0.0124,0.0031,0.1273,0.0401,0.0028,0.0299,95.7837
2025,139955,681911,Alex Vesia,L,R,LAD,160,0.3851,0.2973,0.0996,0.0116,0.0039,0.1247,0.0393,0.0022,0.0363,96.4163
2025,111222,663893,Brendon Little,L,R,TOR,156,0.368,0.2856,0.1564,0.0072,0.0093,0.1214,0.0325,0.002,0.0176,96.4325
2025,103420,643396,Isiah Kiner-Falefa,R,R,TOR,1,0.4657,0.2106,0.085,0.0126,0.0057,0.1431,0.0427,0.0045,0.0301,97.2304
2025,70795,607192,Tyler Glasnow,R,L,LAD,175,0.4181,0.2586,0.1015,0.0087,0.0033,0.1378,0.0389,0.003,0.0301,98.1674
2025,56753,453286,Max Scherzer,R,R,TOR,158,0.4564,0.2387,0.0572,0.0108,0.0041,0.1427,0.0467,0.0022,0.041,102.3387
2025,49786,477132,Clayton Kershaw,L,R,LAD,368,0.4973,0.181,0.076,0.0063,0.0066,0.1518,0.0475,0.0031,0.0303,103.3167
2025,143656,686218,Emmet Sheehan,R,L,LAD,111,0.4154,0.2659,0.0922,0.008,0.0031,0.1332,0.0413,0.0039,0.0371,104.1378
2025,120108,680755,Braydon Fisher,R,L,TOR,85,0.396,0.2664,0.1235,0.0102,0.0032,0.1281,0.0386,0.003,0.0311,104.1433
2025,69516,605135,Chris Bassitt,R,L,TOR,419,0.4538,0.2183,0.0866,0.0107,0.0043,0.1485,0.0429,0.0038,0.0312,105.1912
2025,68557,592332,Kevin Gausman,R,L,TOR,369,0.4673,0.2115,0.0781,0.0051,0.003,0.1474,0.0461,0.0035,0.038,109.586
2025,101250,623168,Tyler Heineman,R,R,TOR,13,0.4884,0.1822,0.077,0.0167,0.0062,0.1512,0.0442,0.0037,0.0304,110.1192
2025,101008,622554,Seranthony Domínguez,R,L,TOR,116,0.389293965517241,0.268523275862069,0.137068103448276,0.00728793103448276,0.0031301724137931,0.127268103448276,0.0368698275862069,0.0033,0.0273887931034483,113.51434137931
2025,164332,808963,Roki Sasaki,R,R,LAD,76,0.4761,0.1929,0.0815,0.0166,0.0057,0.1479,0.0433,0.0029,0.0332,114.0424
2025,115693,676508,Ben Casparius,R,L,LAD,137,0.4462,0.2249,0.0906,0.008,0.0029,0.1388,0.047,0.0039,0.0375,116.3732
2025,145915,689254,Mason Fluharty,L,R,TOR,113,0.4457,0.2053,0.1205,0.0083,0.0059,0.1377,0.0431,0.0022,0.0313,117.4903
2025,51611,500743,Miguel Rojas,R,R,LAD,16,0.4875,0.1787,0.0847,0.0162,0.006,0.148,0.0452,0.0027,0.0312,118.1619
2025,108957,641778,Eric Lauer,L,R,TOR,296,0.458,0.2211,0.0732,0.0069,0.0047,0.1415,0.049,0.0028,0.0429,118.2324
2025,103420,643396,Isiah Kiner-Falefa,R,L,TOR,1,0.4484,0.1983,0.117,0.0096,0.0033,0.1394,0.0439,0.0066,0.0335,118.5556
2025,59660,571771,Enrique Hernández,R,R,LAD,20,0.4785,0.1759,0.1104,0.0118,0.0071,0.1444,0.0416,0.0025,0.0279,121.7742
2025,68804,595014,Blake Treinen,R,L,LAD,54,0.3941,0.2497,0.1402,0.0111,0.0028,0.128,0.0392,0.0031,0.0319,126.7737
2025,71071,607455,Anthony Banda,L,R,LAD,157,0.4399,0.2079,0.1248,0.0085,0.0051,0.1357,0.0429,0.0027,0.0324,132.366
2025,51611,500743,Miguel Rojas,R,L,LAD,12,0.471,0.1699,0.1153,0.0101,0.0035,0.1445,0.0465,0.0036,0.0357,141.7215
2025,142702,684320,Yariel Rodríguez,R,L,TOR,122,0.4448,0.184,0.1389,0.0143,0.0036,0.1375,0.0415,0.0037,0.0317,143.0529
2025,56753,453286,Max Scherzer,R,L,TOR,200,0.4666,0.1944,0.079,0.0058,0.0025,0.1448,0.0508,0.0034,0.0527,156.8049
2025,59660,571771,Enrique Hernández,R,L,LAD,17,0.4588,0.1594,0.15,0.0083,0.004,0.1417,0.0436,0.0036,0.0306,157.4622
2025,164332,808963,Roki Sasaki,R,L,LAD,85,0.4528,0.1828,0.1208,0.0108,0.0033,0.1428,0.0439,0.0043,0.0386,160.453
2025,101250,623168,Tyler Heineman,R,L,TOR,14,0.468,0.1711,0.1075,0.0186,0.0036,0.1467,0.0452,0.0056,0.0337,160.8217
